id,grandPrixId,name,qualyFormat,circuitId,scheduledLaps,posterURL
1961-01,monaco,Grand Prix de Monaco 1961,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco610514.jpg
1961-02,netherlands,Grote Prijs van Nederland 1961,TWO_SESSION,zandvoort,75,https://www.progcovers.com/motor/zandvoort610522.jpg
1961-03,belgium,1961 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,30,https://www.progcovers.com/motor/spa610618.jpg
1961-04,france,Grand Prix de France 1961,TWO_SESSION,reims,52,https://www.progcovers.com/motor/reims020761.jpg
1961-05,great-britain,1961 RAC British Grand Prix,TWO_SESSION,aintree,75,https://www.progcovers.com/motor/aintree610715.jpg
1961-06,germany,Grosser Preis von Deutschland 1961,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring610806.jpg
1961-07,italy,Gran Premio d'Italia 1961,TWO_SESSION,monza,43,https://www.progcovers.com/motor/monza6109102.jpg
1961-08,united-states,1961 United States Grand Prix,TWO_SESSION,watkins-glen,100,https://www.progcovers.com/motor/watkinsglen611008.jpg
1962-01,netherlands,Grote Prijs van Nederland 1962,TWO_SESSION,zandvoort,80,https://www.progcovers.com/motor/zandvoort620520.jpg
1962-02,monaco,Grand Prix de Monaco 1962,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco620603.jpg
1962-03,belgium,1962 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,32,https://www.progcovers.com/motor/spa62.jpg
1962-04,france,Grand Prix de France 1962,TWO_SESSION,rouen,54,https://www.progcovers.com/motor/rouen62.jpg
1962-05,great-britain,1962 RAC British Grand Prix,TWO_SESSION,aintree,75,https://www.progcovers.com/motor/aintree620721.jpg
1962-06,germany,Grosser Preis von Deutschland 1962,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring620805.jpg
1962-07,italy,Gran Premio d'Italia 1962,TWO_SESSION,monza,86,https://www.progcovers.com/motor/monza620916.jpg
1962-08,united-states,1962 United States Grand Prix,TWO_SESSION,watkins-glen,100,https://www.progcovers.com/motor/watglen62.jpg
1962-09,south-africa,South African Grand Prix 1962,TWO_SESSION,east-london,82,https://www.progcovers.com/motor/eastlondon621229.jpg
1963-01,monaco,Grand Prix de Monaco 1963,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco630526.jpg
1963-02,belgium,1963 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,32,https://www.progcovers.com/motor/spa63.jpg
1963-03,netherlands,Grote Prijs van Nederland 1963,TWO_SESSION,zandvoort,80,https://www.progcovers.com/motor/zandvoort630623.jpg
1963-04,france,Grand Prix de France 1963,TWO_SESSION,reims,53,https://www.progcovers.com/motor/reims630630.jpg
1963-05,great-britain,1963 RAC British Grand Prix,TWO_SESSION,silverstone,82,https://www.progcovers.com/motor/silverstone630720.jpg
1963-06,germany,Grosser Preis von Deutschland 1963,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring630804.jpg
1963-07,italy,Gran Premio d'Italia 1963,TWO_SESSION,monza,86,https://www.progcovers.com/motor/monza63.jpg
1963-08,united-states,1963 United States Grand Prix,TWO_SESSION,watkins-glen,110,https://www.progcovers.com/motor/watglen63.jpg
1963-09,mexico,Gran Premio de México 1963,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico631027.jpg
1963-10,south-africa,South African Grand Prix 1963,TWO_SESSION,east-london,85,https://www.progcovers.com/motor/63_EL.jpg
