id,eventId,abbreviation,startDateTime
2010-04-FP1,2010-04,FP1,
2010-05-FP1,2010-05,FP1,
2010-06-FP1,2010-06,FP1,
2010-07-FP1,2010-07,FP1,
2010-08-FP1,2010-08,FP1,
2010-09-FP1,2010-09,FP1,
2010-10-FP1,2010-10,FP1,
2010-11-FP1,2010-11,FP1,
2010-12-FP1,2010-12,FP1,
2010-13-FP1,2010-13,FP1,
2010-14-FP1,2010-14,FP1,
2010-15-FP1,2010-15,FP1,
2010-16-FP1,2010-16,FP1,
2010-17-FP1,2010-17,FP1,
2010-18-FP1,2010-18,FP1,
2010-19-FP1,2010-19,FP1,
2011-01-FP1,2011-01,FP1,
2011-02-FP1,2011-02,FP1,
2011-03-FP1,2011-03,FP1,
2011-04-FP1,2011-04,FP1,
2011-05-FP1,2011-05,FP1,
2011-06-FP1,2011-06,FP1,
2011-07-FP1,2011-07,FP1,
2011-08-FP1,2011-08,FP1,
2011-09-FP1,2011-09,FP1,
2011-10-FP1,2011-10,FP1,
2011-11-FP1,2011-11,FP1,
2011-12-FP1,2011-12,FP1,
2011-13-FP1,2011-13,FP1,
2011-14-FP1,2011-14,FP1,
2011-15-FP1,2011-15,FP1,
2011-16-FP1,2011-16,FP1,
2011-17-FP1,2011-17,FP1,
2011-18-FP1,2011-18,FP1,
2011-19-FP1,2011-19,FP1,
2012-01-FP1,2012-01,FP1,
2012-02-FP1,2012-02,FP1,
2012-03-FP1,2012-03,FP1,
2012-04-FP1,2012-04,FP1,
2012-05-FP1,2012-05,FP1,
2012-06-FP1,2012-06,FP1,
2012-07-FP1,2012-07,FP1,
2012-08-FP1,2012-08,FP1,
2012-09-FP1,2012-09,FP1,
2012-10-FP1,2012-10,FP1,
2012-11-FP1,2012-11,FP1,
2012-12-FP1,2012-12,FP1,
2012-13-FP1,2012-13,FP1,
2012-14-FP1,2012-14,FP1,
2012-15-FP1,2012-15,FP1,
2012-16-FP1,2012-16,FP1,
2012-17-FP1,2012-17,FP1,
2012-18-FP1,2012-18,FP1,
2012-19-FP1,2012-19,FP1,
2012-20-FP1,2012-20,FP1,
2013-01-FP1,2013-01,FP1,
2013-02-FP1,2013-02,FP1,
